#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P62942	uniprotkb:P42345	intact:EBI-1027571|uniprotkb:P20071|uniprotkb:Q4VC47|uniprotkb:Q6FGD9|uniprotkb:Q6LEU3|uniprotkb:Q9H103|uniprotkb:Q9H566|uniprotkb:D3DVW6	intact:EBI-359260|uniprotkb:Q5TER1|uniprotkb:Q4LE76|uniprotkb:Q6LE87|uniprotkb:Q96QG3|uniprotkb:Q9Y4I3	psi-mi:fkb1a_human(display_long)|uniprotkb:FKBP1A(gene name)|psi-mi:FKBP1A(display_short)|uniprotkb:FKBP1(gene name synonym)|uniprotkb:FKBP12(gene name synonym)|uniprotkb:FK506-binding protein 1A(gene name synonym)|uniprotkb:Rotamase(gene name synonym)|uniprotkb:Immunophilin FKBP12(gene name synonym)|uniprotkb:12 kDa FK506-binding protein(gene name synonym)|uniprotkb:Calstabin-1(gene name synonym)	psi-mi:mtor_human(display_long)|uniprotkb:MTOR(gene name)|psi-mi:MTOR(display_short)|uniprotkb:FRAP(gene name synonym)|uniprotkb:FRAP2(gene name synonym)|uniprotkb:FK506-binding protein 12-rapamycin complex-associated protein 1(gene name synonym)|uniprotkb:Rapamycin target protein 1(gene name synonym)|uniprotkb:FRAP1(gene name synonym)|uniprotkb:Mammalian target of rapamycin(gene name synonym)|uniprotkb:FKBP12-rapamycin complex-associated protein(gene name synonym)|uniprotkb:Mechanistic target of rapamycin(gene name synonym)|uniprotkb:RAFT1(gene name synonym)|uniprotkb:RAPT1(gene name synonym)|uniprotkb:Rapamycin and FKBP12 target 1(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Gu et al. (2013)	imex:IM-22069|pubmed:22664266	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9120172|imex:IM-22069-1	intact-miscore:0.81
chebi:"CHEBI:9168"	uniprotkb:P62942	intact:EBI-9120221|chebi:"CHEBI:100923"|chebi:"CHEBI:67812"	intact:EBI-1027571|uniprotkb:P20071|uniprotkb:Q4VC47|uniprotkb:Q6FGD9|uniprotkb:Q6LEU3|uniprotkb:Q9H103|uniprotkb:Q9H566|uniprotkb:D3DVW6	psi-mi:sirolimus(display_short)|psi-mi:"CHEBI:9168"(display_long)|intact:"(-)-Rapamycin"(synonym)|intact:"(1R,9S,12S,15R,16E,18R,19R,21R,23S,24E,26E,28E,30S,32S,35R)-1,18-dihydroxy-12-{(2S)-1-[(1S,3R,4R)-4-hydroxy-3-methoxycyclohexyl]propan-2-yl}-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo[30.3.1.0(4,9)]hexatriaconta-16,24,26,28-tetr"(synonym)|intact:Antibiotic AY 22989(synonym)|intact:Rapamune(synonym)|intact:rapamycin(synonym)|intact:sirolimus(synonym)|intact:Sirolimus(synonym)|intact:sirolimusum(synonym)|intact:"(3S,6R,7E,9R,10R,12R,14S,15E,17E,19E,21S,23S,26R,27R,34aS)-9,27-dihydroxy-3-{(2R)-1-[(1S,3R,4R)-4-hydroxy-3-methoxycyclohexyl]propan-2-yl}-10,21-dimethoxy-6,8,12,14,20,26-hexamethyl-9,10,12,13,14,21,22,23,24,25,26,27,32,33,34,34a-hexadecahydro-3H-23,27-epo"(iupac name)	psi-mi:fkb1a_human(display_long)|uniprotkb:FKBP1A(gene name)|psi-mi:FKBP1A(display_short)|uniprotkb:FKBP1(gene name synonym)|uniprotkb:FKBP12(gene name synonym)|uniprotkb:FK506-binding protein 1A(gene name synonym)|uniprotkb:Rotamase(gene name synonym)|uniprotkb:Immunophilin FKBP12(gene name synonym)|uniprotkb:12 kDa FK506-binding protein(gene name synonym)|uniprotkb:Calstabin-1(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Gu et al. (2013)	imex:IM-22069|pubmed:22664266	taxid:-2(chemical synthesis)|taxid:-2("Chemical synthesis (Chemical synthesis)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9120172|imex:IM-22069-1	intact-miscore:0.40
uniprotkb:P25962	uniprotkb:P51637	intact:EBI-7406111|intact:MINT-146553|uniprotkb:Q9QZ98|uniprotkb:A2RS74	intact:EBI-298576	psi-mi:adrb3_mouse(display_long)|uniprotkb:Adrb3(gene name)|psi-mi:Adrb3(display_short)|uniprotkb:Adrb3r(gene name synonym)|uniprotkb:B3bar(gene name synonym)|uniprotkb:Beta-3 adrenoreceptor(gene name synonym)	psi-mi:cav3_mouse(display_long)|uniprotkb:Cav3(gene name)|psi-mi:Cav3(display_short)|uniprotkb:M-caveolin(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Belge et al. (2014)	imex:IM-22310|pubmed:24190960	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9350396|imex:IM-22310-2	intact-miscore:0.40
uniprotkb:Q9Z0J4	uniprotkb:P13945	intact:EBI-397596|uniprotkb:Q64208|uniprotkb:Q3UR10	intact:EBI-9350355|uniprotkb:Q4JFT4	psi-mi:nos1_mouse(display_long)|uniprotkb:Nos1(gene name)|psi-mi:Nos1(display_short)|uniprotkb:bNOS(gene name synonym)|uniprotkb:NOS type I(gene name synonym)|uniprotkb:Neuronal NOS(gene name synonym)|uniprotkb:Constitutive NOS(gene name synonym)|uniprotkb:NC-NOS(gene name synonym)|uniprotkb:Peptidyl-cysteine S-nitrosylase NOS1(gene name synonym)	psi-mi:adrb3_human(display_long)|uniprotkb:ADRB3(gene name)|psi-mi:ADRB3(display_short)|uniprotkb:ADRB3R(gene name synonym)|uniprotkb:B3AR(gene name synonym)|uniprotkb:Beta-3 adrenoreceptor(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Belge et al. (2014)	imex:IM-22310|pubmed:24190960	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9350429|imex:IM-22310-4	intact-miscore:0.40
uniprotkb:P51637	uniprotkb:P13945	intact:EBI-298576	intact:EBI-9350355|uniprotkb:Q4JFT4	psi-mi:cav3_mouse(display_long)|uniprotkb:Cav3(gene name)|psi-mi:Cav3(display_short)|uniprotkb:M-caveolin(gene name synonym)	psi-mi:adrb3_human(display_long)|uniprotkb:ADRB3(gene name)|psi-mi:ADRB3(display_short)|uniprotkb:ADRB3R(gene name synonym)|uniprotkb:B3AR(gene name synonym)|uniprotkb:Beta-3 adrenoreceptor(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Belge et al. (2014)	imex:IM-22310|pubmed:24190960	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9350352|imex:IM-22310-1	intact-miscore:0.40
uniprotkb:P13945	uniprotkb:P70313	intact:EBI-9350355|uniprotkb:Q4JFT4	intact:EBI-298920|uniprotkb:O55056|uniprotkb:Q7TSV7	psi-mi:adrb3_human(display_long)|uniprotkb:ADRB3(gene name)|psi-mi:ADRB3(display_short)|uniprotkb:ADRB3R(gene name synonym)|uniprotkb:B3AR(gene name synonym)|uniprotkb:Beta-3 adrenoreceptor(gene name synonym)	psi-mi:nos3_mouse(display_long)|uniprotkb:Nos3(gene name)|psi-mi:Nos3(display_short)|uniprotkb:Ecnos(gene name synonym)|uniprotkb:Endothelial NOS(gene name synonym)|uniprotkb:EC-NOS(gene name synonym)|uniprotkb:NOS type III(gene name synonym)|uniprotkb:Constitutive NOS(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Belge et al. (2014)	imex:IM-22310|pubmed:24190960	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9350424|imex:IM-22310-3	intact-miscore:0.40
uniprotkb:P18031	uniprotkb:Q96TC7	intact:EBI-968788|uniprotkb:Q5TGD8|uniprotkb:Q9BQV9|uniprotkb:Q9NQQ4	intact:EBI-1056589|uniprotkb:A9UMZ9|uniprotkb:Q6ZWE9|uniprotkb:Q96H23|uniprotkb:Q96SD6|uniprotkb:Q9H6G1|uniprotkb:Q9NVQ6|uniprotkb:B3KRR3|intact:EBI-2563869	psi-mi:ptn1_human(display_long)|uniprotkb:PTPN1(gene name)|psi-mi:PTPN1(display_short)|uniprotkb:PTP1B(gene name synonym)|uniprotkb:Protein-tyrosine phosphatase 1B(gene name synonym)	psi-mi:rmd3_human(display_long)|uniprotkb:Protein tyrosine phosphatase-interacting protein 51(gene name synonym)|uniprotkb:TCPTP-interacting protein 51(gene name synonym)|uniprotkb:UNQ3122/PRO10274(orf name)|uniprotkb:hucep-10(orf name)|uniprotkb:RMDN3(gene name)|psi-mi:RMDN3(display_short)|uniprotkb:Cerebral protein 10(gene name synonym)|uniprotkb:FAM82A2(gene name synonym)|uniprotkb:FAM82C(gene name synonym)|uniprotkb:PTPIP51(gene name synonym)|uniprotkb:Protein FAM82A2(gene name synonym)|uniprotkb:Protein FAM82C(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Petri et al. (2011)	pubmed:21972092|imex:IM-22194	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9163322|imex:IM-22194-6	intact-miscore:0.65
uniprotkb:Q96TC7	uniprotkb:P31946	intact:EBI-1056589|uniprotkb:A9UMZ9|uniprotkb:Q6ZWE9|uniprotkb:Q96H23|uniprotkb:Q96SD6|uniprotkb:Q9H6G1|uniprotkb:Q9NVQ6|uniprotkb:B3KRR3|intact:EBI-2563869	intact:EBI-359815|uniprotkb:A8K9K2|uniprotkb:E1P616	psi-mi:rmd3_human(display_long)|uniprotkb:Protein tyrosine phosphatase-interacting protein 51(gene name synonym)|uniprotkb:TCPTP-interacting protein 51(gene name synonym)|uniprotkb:UNQ3122/PRO10274(orf name)|uniprotkb:hucep-10(orf name)|uniprotkb:RMDN3(gene name)|psi-mi:RMDN3(display_short)|uniprotkb:Cerebral protein 10(gene name synonym)|uniprotkb:FAM82A2(gene name synonym)|uniprotkb:FAM82C(gene name synonym)|uniprotkb:PTPIP51(gene name synonym)|uniprotkb:Protein FAM82A2(gene name synonym)|uniprotkb:Protein FAM82C(gene name synonym)	psi-mi:1433b_human(display_long)|uniprotkb:YWHAB(gene name)|psi-mi:YWHAB(display_short)|uniprotkb:Protein kinase C inhibitor protein 1(gene name synonym)|uniprotkb:Protein 1054(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Petri et al. (2011)	pubmed:21972092|imex:IM-22194	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9163295|imex:IM-22194-3	intact-miscore:0.78
uniprotkb:P31946	uniprotkb:Q96TC7	intact:EBI-359815|uniprotkb:A8K9K2|uniprotkb:E1P616	intact:EBI-1056589|uniprotkb:A9UMZ9|uniprotkb:Q6ZWE9|uniprotkb:Q96H23|uniprotkb:Q96SD6|uniprotkb:Q9H6G1|uniprotkb:Q9NVQ6|uniprotkb:B3KRR3|intact:EBI-2563869	psi-mi:1433b_human(display_long)|uniprotkb:YWHAB(gene name)|psi-mi:YWHAB(display_short)|uniprotkb:Protein kinase C inhibitor protein 1(gene name synonym)|uniprotkb:Protein 1054(gene name synonym)	psi-mi:rmd3_human(display_long)|uniprotkb:Protein tyrosine phosphatase-interacting protein 51(gene name synonym)|uniprotkb:TCPTP-interacting protein 51(gene name synonym)|uniprotkb:UNQ3122/PRO10274(orf name)|uniprotkb:hucep-10(orf name)|uniprotkb:RMDN3(gene name)|psi-mi:RMDN3(display_short)|uniprotkb:Cerebral protein 10(gene name synonym)|uniprotkb:FAM82A2(gene name synonym)|uniprotkb:FAM82C(gene name synonym)|uniprotkb:PTPIP51(gene name synonym)|uniprotkb:Protein FAM82A2(gene name synonym)|uniprotkb:Protein FAM82C(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Petri et al. (2011)	pubmed:21972092|imex:IM-22194	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9163308|imex:IM-22194-4	intact-miscore:0.78
uniprotkb:P31749	uniprotkb:P11021	intact:EBI-296087|uniprotkb:Q9BWB6|uniprotkb:B2RAM5|dip:DIP-24269N|uniprotkb:B7Z5R1	intact:EBI-354921|uniprotkb:Q2EF78|uniprotkb:Q9NPF1|uniprotkb:Q9UK02|uniprotkb:B0QZ61	psi-mi:akt1_human(display_long)|uniprotkb:AKT1(gene name)|psi-mi:AKT1(display_short)|uniprotkb:PKB(gene name synonym)|uniprotkb:RAC(gene name synonym)|uniprotkb:RAC-PK-alpha(gene name synonym)|uniprotkb:Protein kinase B(gene name synonym)|uniprotkb:Proto-oncogene c-Akt(gene name synonym)|uniprotkb:Protein kinase B alpha(gene name synonym)	psi-mi:bip_human(display_long)|uniprotkb:HSPA5(gene name)|psi-mi:HSPA5(display_short)|uniprotkb:GRP78(gene name synonym)|uniprotkb:Immunoglobulin heavy chain-binding protein(gene name synonym)|uniprotkb:78 kDa glucose-regulated protein(gene name synonym)|uniprotkb:Binding-immunoglobulin protein(gene name synonym)|uniprotkb:Heat shock protein 70 family protein 5(gene name synonym)|uniprotkb:Heat shock protein family A member 5(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Yung et al. (2011)	pubmed:21445305|imex:IM-22066	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9119403|imex:IM-22066-1	intact-miscore:0.52
